Q3,Q4,Q40,Q91,Q41,Q42,Q43,Q5,Q6,Q7,Q9,Q11,Q44,Q23,Q21,Q41,Q43,Q45,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q65,Q57,Q58,Q100,Q101,Q103,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q113,Q123,Q115,Q116,Q117,Q118,Q82,Q122,Q13,Q15,Q17,Q19,Q25,Q27,Q29,Q31,Q33,Q71,Q35,Q119,Q120,Q37,Q46,Q49,Q51,Q53,Q72,Q74,Q75,Q121,Q55
Are you enrolled in Trinity College of Arts and Sciences or the Pratt School of Engineering?,How would you best describe yourself?,What is your gender?,Do you identify with the gender you were assigned at birth?,What is your sexual orientation?,Are you a first-generation college student?,Are you a recruited varsity athlete?,Are you an international student?,Which state do you live in (please enter the postal abbreviation)?,What is the ZIP Code of your home address?,What is your home city?,What is your home country?,What type of community are you from?,What do you estimate is your immediate family's total annual income?,Do you receive financial aid from Duke?,Which major are you most inclined towards?,How interested are you in Greek life at Duke?,How interested are you in Selective Living Groups at Duke?,How interested are you in applying to / joining a Living Learning Community at Duke?,My opinion of QuadEx—the new residential system—is:,How likely are you to tent?,Are you in a FOCUS?,Which FOCUS cluster are you in?,Were you able to find community this year?,From where have you primarily found community?,How much do you think the pandemic has negatively affected your ability to find community?,Have you tested positive for COVID-19 (while on campus)?,Has someone you know tested positive for COVID-19 (while on campus)?,My views of Duke’s COVID-19 policies are:,How much do Duke’s COVID-19 policies impact your academic life?,How much do Duke’s COVID-19 policies impact your social life?,How many times a week do you eat at Marketplace?,How many times a week do you eat at West Campus eateries?,How many times a week do you go to an East Campus library? (Excluding scheduled courses),How many times a week do you go to a West Campus library? (Excluding scheduled courses),How many times a week do you go to Wilson Gym?,How much does commute affect how many times you go to Wilson Gym?,Select the Duke academic resources you are aware of:,Select the Duke academic resources you have used:,Select the Duke mental health resources you are aware of:,Select the Duke mental health resources you have used:,Select the Duke health and wellness resources you are aware of:,Select the Duke health and wellness resources you have used:,Select the Duke identity and cultural groups you are aware of:,Select the Duke identity and cultural groups you have visited:,Have you received treatment for your mental health before?,Are you currently receiving treatment for your mental health?,What was your high school GPA (scaled on a 0 to 4.00 scale)?,Did you take the SAT or ACT?,What was your SAT combined score?,What was your ACT composite score?,What type of secondary school did you attend?,Did you hire a private college admissions counselor during the admissions process?,How many colleges and universities did you apply to?,How many colleges and universities were you accepted to?,Did you apply to Duke via the Early Decision process?,Were you accepted off the waitlist from Duke?,Was Duke your first choice?,Did you take a gap year?,Which class were you admitted in?,Did any of your parents or siblings attend Duke?,Which of the following most influenced your decision to attend Duke?,Which best describes your religion?,How religious would you say you are?,How would you describe your political beliefs?,Are you registered to vote in the United States?,Did you / are you planning to vote in Durham?,Do you plan to vote in the municipal election?,Who do you plan to vote for?,Have you done any of the following?
Pratt,Asian,Woman,Yes,Bisexual,No,No,No,CA,94306,,,Suburban,"$250,000-$500,000",No,Biomedical Engineering,Not interested at all,Moderately interested,Very interested,Neither favorable nor unfavorable,Somewhat likely,No,,Somewhat agree,Dorm,A moderate amount,No,Yes,Somewhat unfavorable,A little,Quite a bit,8-10,3-5,0-2,3-5,0-2,Very much,"STEM Advancement through Group Engagement Program (SAGE) (ARC),Thompson Writing Program Writing Studio,Directors of Academic Engagement (Academic Advising Center),Pre-professional advising,Career Center",Thompson Writing Program Writing Studio,"Counseling and Psychological Services (CAPS),DuWell,DukeLine",None of these,"Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Weight/exercise rooms at Wilson Recreation Center,Arts Annex","Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Weight/exercise rooms at Wilson Recreation Center,Arts Annex","Women’s Center,Center for Muslim Life,Freeman Center for Jewish Life,Center for Sexual and Gender Diversity,Mary Lou Williams Center for Black Culture,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit),International House","Center for Sexual and Gender Diversity,Mary Lou Williams Center for Black Culture",No,,3.93,SAT,1520,,Public (non-charter),Yes,3,3,Yes,No,Yes,No,,No,Student life / campus culture,Agnostic,Not very religious,Very liberal,Ineligible to vote,,,,"Drank alcohol,Used drugs,Obtained a fake ID"
Trinity,Asian,Man,Yes,Heterosexual,No,No,No,NJ,07059,,,Suburban,"$250,000-$500,000",No,Computer Science,Not interested at all,Slightly interested,Slightly interested,Somewhat unfavorable,Very unlikely,No,,Somewhat agree,Clubs / Extracurriculars,A moderate amount,No,Yes,Strongly favorable,Somewhat,Somewhat,4-7,3-5,0-2,3-5,0-2,Very much,"Group tutoring (Academic Resource Center),Drop-in tutoring (ARC),STEM Advancement through Group Engagement Program (SAGE) (ARC),Thompson Writing Program Writing Studio",STEM Advancement through Group Engagement Program (SAGE) (ARC),"Blue Devils Care,Counseling and Psychological Services (CAPS),DuWell",None of these,"Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Weight/exercise rooms at Wilson Recreation Center,Duke Health COVID-19 Hotline,Outdoor Adventures with Personal Trip Plans,Arts Annex",Arts Annex,"Women’s Center,Center for Muslim Life,Freeman Center for Jewish Life,Center for Sexual and Gender Diversity,Mary Lou Williams Center for Black Culture,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit),International House",None of these,No,,3.82,ACT,,35,Public (non-charter),Yes,3,3,Yes,No,Yes,No,,No,Student life / campus culture,Agnostic,Not at all religious,Somewhat liberal,Yes,I am NOT from Durham; I am voting in Durham,No,,Drank alcohol
Trinity,Black or African American,Woman,Yes,Heterosexual,No,No,No,NJ,08873,,,Suburban,"$80,000-$125,000",Yes,Public Policy Studies,Very interested,Not interested at all,Not interested at all,Strongly unfavorable,Neither likely nor unlikely,Yes,"Ethics, Leadership & Global Citizenship",Somewhat agree,Dorm,A moderate amount,No,No,Somewhat favorable,Somewhat,Very much,14+,6-7,6+,3-5,0-2,Very much,"Group tutoring (Academic Resource Center),Drop-in tutoring (ARC),Directors of Academic Engagement (Academic Advising Center),Student Disability Access Office","Group tutoring (Academic Resource Center),Directors of Academic Engagement (Academic Advising Center),Student Disability Access Office",None of these,None of these,"Group fitness classes at Wilson Recreation Center (spin, yoga, etc)","Group fitness classes at Wilson Recreation Center (spin, yoga, etc)","Women’s Center,Mary Lou Williams Center for Black Culture",Mary Lou Williams Center for Black Culture,No,,3.7,SAT,1200,,Private (parochial),No,3,3,Yes,No,Yes,No,,No,Financial aid award / scholarship,Other,Very religious,Somewhat liberal,No,,,,Drank alcohol
Trinity,Black or African American,Woman,Yes,Heterosexual,No,No,No,GA,31210,,,Suburban,"$125,000-$250,000",No,Chemistry,Moderately interested,Moderately interested,Not interested at all,Somewhat unfavorable,Somewhat likely,No,,Somewhat agree,Other,A moderate amount,No,Yes,Somewhat favorable,Not at all,Somewhat,11-13,3-5,0-2,0-2,0-2,Very much,"Group tutoring (Academic Resource Center),Drop-in tutoring (ARC),STEM Advancement through Group Engagement Program (SAGE) (ARC),GRE/MCAT Prep (ARC),Thompson Writing Program Writing Studio,Ask a Librarian (Duke Libraries),Directors of Academic Engagement (Academic Advising Center),Pre-professional advising,Career Center",Pre-professional advising,"Duke Reach,Blue Devils Care,Counseling and Psychological Services (CAPS),DuWell",None of these,"Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Weight/exercise rooms at Wilson Recreation Center,Duke Health COVID-19 Hotline,Arts Annex",Weight/exercise rooms at Wilson Recreation Center,"Women’s Center,Center for Muslim Life,Freeman Center for Jewish Life,Center for Sexual and Gender Diversity,Mary Lou Williams Center for Black Culture,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit),International House",None of these,No,,4,"SAT,ACT",1520,32,Private (parochial),Yes,16,11,No,No,Yes,No,,Yes,"Duke’s ""brand name""",Protestant,Not very religious,Somewhat liberal,Yes,I am NOT from Durham; I am voting at home,,,
Trinity,Black or African American,Woman,Yes,Bisexual,Yes,No,No,FL,32907,,,Suburban,"Below $40,000",Yes,,Not interested at all,Not interested at all,Not interested at all,Strongly unfavorable,Very unlikely,Yes,Science and the Public,Neither agree nor disagree,Classes,A great deal,No,Yes,Somewhat favorable,Somewhat,Not at all,0-3,0-2,0-2,0-2,3-5,Very much,"Directors of Academic Engagement (Academic Advising Center),Pre-professional advising,Career Center",None of these,Counseling and Psychological Services (CAPS),Counseling and Psychological Services (CAPS),"Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Weight/exercise rooms at Wilson Recreation Center,Arts Annex","Student Health at the Student Wellness Center,Weight/exercise rooms at Wilson Recreation Center,Arts Annex","Women’s Center,Center for Sexual and Gender Diversity,Mary Lou Williams Center for Black Culture",Mary Lou Williams Center for Black Culture,Yes,Yes,3.8,ACT,,26,Public (charter),No,16,1,Yes,No,Yes,No,,No,Financial aid award / scholarship,Agnostic,Not at all religious,Very liberal,Yes,I am NOT from Durham; I am voting at home,,,"Drank alcohol,Used drugs"
Trinity,Black or African American,Woman,Yes,Asexual,No,No,No,VA,24083,,,Rural,"$250,000-$500,000",No,Biology,Not interested at all,Very interested,Very interested,Somewhat unfavorable,Very unlikely,No,,Somewhat disagree,Classes,None at all,No,No,Strongly favorable,Not at all,Not at all,4-7,3-5,0-2,0-2,0-2,Somewhat,"STEM Advancement through Group Engagement Program (SAGE) (ARC),Thompson Writing Program Writing Studio,Pre-professional advising,Career Center",STEM Advancement through Group Engagement Program (SAGE) (ARC),"Blue Devils Care,Counseling and Psychological Services (CAPS),DuWell",Blue Devils Care,"Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Weight/exercise rooms at Wilson Recreation Center,Arts Annex",None of these,"Women’s Center,Freeman Center for Jewish Life,Center for Sexual and Gender Diversity,Mary Lou Williams Center for Black Culture,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit)",Center for Sexual and Gender Diversity,No,,4,"SAT,ACT",1510,33,Private (parochial),No,18,10,No,No,No,No,,No,Academics and interdisciplinary curriculum,Other,Not at all religious,Somewhat liberal,Yes,I am NOT from Durham; I am voting at home,,,
Trinity,Black or African American,Woman,Yes,Heterosexual,No,No,No,AR,72157,,,Rural,"$40,000-$80,000",Yes,Public Policy Studies,Moderately interested,Moderately interested,Moderately interested,Neither favorable nor unfavorable,Somewhat unlikely,No,,Somewhat disagree,Other,Don't know,No,No,Strongly favorable,Somewhat,Don’t know,4-7,3-5,0-2,0-2,0-2,Not at all,"Thompson Writing Program Writing Studio,Directors of Academic Engagement (Academic Advising Center)",Directors of Academic Engagement (Academic Advising Center),Counseling and Psychological Services (CAPS),None of these,"Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Weight/exercise rooms at Wilson Recreation Center,Arts Annex",None of these,"Women’s Center,Freeman Center for Jewish Life,Mary Lou Williams Center for Black Culture,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit),International House","Freeman Center for Jewish Life,Mary Lou Williams Center for Black Culture,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit)",No,,4,ACT,,32,Public (non-charter),No,6,6,No,No,Yes,Yes,Class of 2024,No,Student life / campus culture,Other,Religious,Somewhat liberal,Yes,I am NOT from Durham; I am voting at home,,,Drank alcohol
Trinity,Black or African American,Woman,Yes,Heterosexual,No,No,No,GA,30068,,,Suburban,"$250,000-$500,000",No,Biology,Slightly interested,Moderately interested,Moderately interested,Somewhat favorable,Somewhat unlikely,No,,Neither agree nor disagree,Dorm,A great deal,No,Yes,Somewhat favorable,Quite a bit,Quite a bit,8-10,3-5,0-2,3-5,0-2,Very much,"Group tutoring (Academic Resource Center),Drop-in tutoring (ARC),STEM Advancement through Group Engagement Program (SAGE) (ARC),GRE/MCAT Prep (ARC),Study Connect (ARC),Thompson Writing Program Writing Studio,Directors of Academic Engagement (Academic Advising Center),Pre-professional advising,Career Center",Group tutoring (Academic Resource Center),"Duke Reach,Blue Devils Care,Counseling and Psychological Services (CAPS),DuWell",None of these,"Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Weight/exercise rooms at Wilson Recreation Center,Arts Annex",Arts Annex,"Women’s Center,Center for Muslim Life,Freeman Center for Jewish Life,Center for Sexual and Gender Diversity,Mary Lou Williams Center for Black Culture,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit)","Women’s Center,Mary Lou Williams Center for Black Culture,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit)",Yes,Yes,4,"SAT,ACT",1460,34,Public (non-charter),Yes,14,10,No,No,No,No,,No,Academics and interdisciplinary curriculum,Protestant,Religious,Somewhat liberal,Yes,I am NOT from Durham; I am voting at home,,,Drank alcohol
Trinity,A race/ethnicity not listed here,Man,Yes,Heterosexual,No,No,No,NC,27502,,,Rural,"$250,000-$500,000",No,Economics,Slightly interested,Slightly interested,Slightly interested,Strongly favorable,Very likely,Yes,Modeling in Economic and Social Sciences,Strongly agree,Dorm,A moderate amount,No,Yes,Strongly unfavorable,Somewhat,Somewhat,14+,6-7,0-2,3-5,6+,Very much,"Group tutoring (Academic Resource Center),STEM Advancement through Group Engagement Program (SAGE) (ARC),Directors of Academic Engagement (Academic Advising Center),Career Center",STEM Advancement through Group Engagement Program (SAGE) (ARC),"Duke Reach,Blue Devils Care,Counseling and Psychological Services (CAPS),DuWell",DuWell,"Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Diet and nutrition lecture courses through the Department of Health, Wellness, and Physical Education (HWPE)","Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Weight/exercise rooms at Wilson Recreation Center,Diet and nutrition lecture courses through the Department of Health, Wellness, and Physical Education (HWPE),Outdoor Adventures with Personal Trip Plans",Freeman Center for Jewish Life,Freeman Center for Jewish Life,Yes,No,4,SAT,1560,,Public (non-charter),Yes,5,1,Yes,No,Yes,Yes,Class of 2024,No,Other,Other,Not very religious,Moderate,Yes,I am from Durham; I am voting in Durham,Yes,AJ Williams,"Drank alcohol,Used drugs,Had sex"
