Asian,Black or African American,A race/ethnicity not listed here,White,Hispanic or Latinx/e,Native American or Alaska Native,Native Hawaiian or Pacific Islander,Are you enrolled in Trinity College of Arts and Sciences or the Pratt School of Engineering?,Are you a first-generation college student?,Are you a recruited varsity athlete?,Are you an international student?,What do you estimate is your immediate family's total annual income?,Do you receive financial aid from Duke?,Which major are you most inclined towards?,How interested are you in Greek life at Duke?,How interested are you in Selective Living Groups at Duke?,How interested are you in applying to / joining a Living Learning Community at Duke?,My opinion of QuadEx—the new residential system—is:,How likely are you to tent?,Are you in a FOCUS?,Have you received treatment for your mental health before?,Are you currently receiving treatment for your mental health?,What type of secondary school did you attend?,Did you hire a private college admissions counselor during the admissions process?,How many colleges and universities did you apply to?,How many colleges and universities were you accepted to?,Did you apply to Duke via the Early Decision process?,Were you accepted off the waitlist from Duke?,Was Duke your first choice?,Did you take a gap year?,Which class were you admitted in?,Did any of your parents or siblings attend Duke?
X,,,,,,,Pratt,No,No,No,"$250,000-$500,000",No,Biomedical Engineering,Not interested at all,Moderately interested,Very interested,Neither favorable nor unfavorable,Somewhat likely,No,No,,Public (non-charter),Yes,3,3,Yes,No,Yes,No,,No
X,,,,,,,Trinity,No,No,No,"$250,000-$500,000",No,Computer Science,Not interested at all,Slightly interested,Slightly interested,Somewhat unfavorable,Very unlikely,No,No,,Public (non-charter),Yes,3,3,Yes,No,Yes,No,,No
,X,,,,,,Trinity,No,No,No,"$80,000-$125,000",Yes,Public Policy Studies,Very interested,Not interested at all,Not interested at all,Strongly unfavorable,Neither likely nor unlikely,Yes,No,,Private (parochial),No,3,3,Yes,No,Yes,No,,No
,X,,,,,,Trinity,No,No,No,"$125,000-$250,000",No,Chemistry,Moderately interested,Moderately interested,Not interested at all,Somewhat unfavorable,Somewhat likely,No,No,,Private (parochial),Yes,16,11,No,No,Yes,No,,Yes
,X,,,,,,Trinity,Yes,No,No,"Below $40,000",Yes,,Not interested at all,Not interested at all,Not interested at all,Strongly unfavorable,Very unlikely,Yes,Yes,Yes,Public (charter),No,16,1,Yes,No,Yes,No,,No
,X,,,,,,Trinity,No,No,No,"$250,000-$500,000",No,Biology,Not interested at all,Very interested,Very interested,Somewhat unfavorable,Very unlikely,No,No,,Private (parochial),No,18,10,No,No,No,No,,No
,X,,,,,,Trinity,No,No,No,"$40,000-$80,000",Yes,Public Policy Studies,Moderately interested,Moderately interested,Moderately interested,Neither favorable nor unfavorable,Somewhat unlikely,No,No,,Public (non-charter),No,6,6,No,No,Yes,Yes,Class of 2024,No
,X,,,,,,Trinity,No,No,No,"$250,000-$500,000",No,Biology,Slightly interested,Moderately interested,Moderately interested,Somewhat favorable,Somewhat unlikely,No,Yes,Yes,Public (non-charter),Yes,14,10,No,No,No,No,,No
,,X,,,,,Trinity,No,No,No,"$250,000-$500,000",No,Economics,Slightly interested,Slightly interested,Slightly interested,Strongly favorable,Very likely,Yes,Yes,No,Public (non-charter),Yes,5,1,Yes,No,Yes,Yes,Class of 2024,No
,,,X,,,,Trinity,No,No,No,"$250,000-$500,000",No,Political Science,Not interested at all,Slightly interested,Not interested at all,Neither favorable nor unfavorable,Somewhat unlikely,Yes,No,,Public (non-charter),Yes,3,1,Yes,No,Yes,No,,No
